x,r
mm,mm
0.00,0
1.00,0.264642
2.00,0.4286755
3.00,0.561089
4.00,0.6661455
5.00,0.748108
6.00,0.8112395
7.00,0.859803
8.00,0.8980615
9.00,0.930278
10.00,0.9607155
