x,r
mm,mm
0.00,0
1.00,0.1842585
2.00,0.2738785
3.00,0.3501555
4.00,0.4147215
5.00,0.4692085
6.00,0.5152485
7.00,0.5544735
8.00,0.5885155
9.00,0.6190065
10.00,0.6475785
11.00,0.6758635
12.00,0.7054935
13.00,0.7381005
14.00,0.7753165
15.00,0.8187735
16.00,0.8701035
17.00,0.9309385
