x,r
mm,mm
0.00,0
1.00,0.17835
2.00,0.29715
3.00,0.40265
4.00,0.49575
5.00,0.57735
6.00,0.64835
7.00,0.70965
8.00,0.76215
9.00,0.80675
10.00,0.84435
11.00,0.87585
12.00,0.90215
13.00,0.92415
14.00,0.94275
15.00,0.95885
16.00,0.97335
17.00,0.98715
