x,r
mm,mm
0.00,0
1.00,0.0866705
2.00,0.14965
3.00,0.2058375
4.00,0.255779
5.00,0.3000205
6.00,0.339108
7.00,0.3735875
8.00,0.404005
9.00,0.4309065
10.00,0.454838
11.00,0.4763455
12.00,0.495975
13.00,0.5142725
14.00,0.531784
15.00,0.5490555
16.00,0.566633
17.00,0.5850625
18.00,0.60489
19.00,0.6266615
