x,r
mm,mm
0.00,0
1.00,0.1360725
2.00,0.2338985
3.00,0.3214265
4.00,0.3993885
5.00,0.4685165
6.00,0.5295425
7.00,0.5831985
8.00,0.6302165
9.00,0.6713285
10.00,0.7072665
11.00,0.7387625
12.00,0.7665485
13.00,0.7913565
14.00,0.8139185
15.00,0.8349665
16.00,0.8552325
17.00,0.8754485
18.00,0.8963465
19.00,0.9186585
